,Make,Model,price,Doors,Riding Capacity,Overall Length (mm),Overall Width (mm),Overall Height (mm),Wheelbase (mm),Weight (kg),Maximum Power (kW),Displacement (cc),Bore (mm),Stroke (mm),Fuel Tank Equipment (L),year of launch,displacement-based class
681,Daihatsu,Daihatsu Boon,1549800,5,5,3650,1665,1535,2440,970,51,996,710,839,38,2014,mini
682,Daihatsu,Daihatsu Boon,1533600,5,5,3680,1665,1525,2490,910,51,996,710,839,36,2018,mini
683,Daihatsu,Daihatsu BE GO,1765000,5,5,4005,1695,1705,2580,1190,80,1495,720,918,50,2008,Subcompact
684,Daihatsu,Daihatsu Boon,1029000,5,5,3600,1665,1535,2440,900,52,996,710,839,40,2006,mini
685,Daihatsu,Daihatsu BE GO,2198000,5,5,4005,1695,1690,2580,1200,80,1495,720,918,50,2013,Subcompact
686,Daihatsu,Daihatsu Boon,1407000,5,5,3630,1665,1550,2440,940,66,1297,720,797,40,2005,Subcompact
687,Daihatsu,Daihatsu BE GO,2035000,5,5,4005,1695,1690,2580,1190,80,1495,720,918,50,2008,Subcompact
688,Daihatsu,Daihatsu BE GO,1999000,5,5,4005,1695,1690,2580,1190,80,1495,720,918,50,2010,Subcompact
689,Daihatsu,Daihatsu Boon,1092000,5,5,3595,1665,1535,2440,900,52,996,710,839,40,2005,mini
690,Daihatsu,Daihatsu BE GO,2093000,5,5,4005,1695,1690,2580,1200,80,1495,720,918,50,2012,Subcompact
691,Daihatsu,Daihatsu Boon,945000,5,5,3595,1665,1535,2440,900,52,996,710,839,40,2004,mini
692,Daihatsu,Daihatsu BE GO,1785000,5,5,3995,1695,1705,2580,1190,80,1495,720,918,50,2006,Subcompact
693,Daihatsu,Daihatsu Boon,1415880,5,5,3650,1665,1525,2490,960,51,996,710,839,38,2016,mini
694,Daihatsu,Daihatsu Boon,1545480,5,5,3650,1665,1525,2490,960,51,996,710,839,38,2018,mini
695,Daihatsu,Daihatsu Boon,1218000,5,5,3595,1665,1550,2440,930,66,1297,720,797,40,2006,Subcompact
696,Daihatsu,Daihatsu Boon,1239000,5,5,3595,1665,1535,2440,930,52,996,710,839,38,2005,mini
697,Daihatsu,Daihatsu Boon,1029000,5,5,3595,1665,1535,2440,900,52,996,710,839,40,2004,mini
698,Daihatsu,Daihatsu Boon,1150200,5,5,3650,1665,1525,2490,910,51,996,710,839,36,2016,mini
699,Daihatsu,Daihatsu Boon,1350000,5,5,3650,1665,1525,2490,910,51,996,710,839,36,2018,mini
700,Daihatsu,Daihatsu BE GO,1900500,5,5,3995,1695,1705,2580,1190,80,1495,720,918,50,2006,Subcompact
701,Daihatsu,Daihatsu Boon,1113000,5,5,3595,1665,1535,2440,930,66,1297,720,797,40,2005,Subcompact
702,Daihatsu,Daihatsu BE GO,1701000,5,5,3995,1695,1705,2580,1180,80,1495,720,918,50,2008,Subcompact
703,Daihatsu,Daihatsu BE GO,1785000,5,5,3995,1695,1705,2580,1190,80,1495,720,918,50,2008,Subcompact
704,Daihatsu,Daihatsu BE GO,1847000,5,5,4005,1695,1705,2580,1200,80,1495,720,918,50,2010,Subcompact
